,Place_name,Latitude,Longitude,Category,Region
0,Madhuban Apartments,12.9383132,77.60969140000002,Apartments,"Adugodi, Bengaluru"
1,Golden Nest Apartments,12.9419278,77.6090382,Apartments,"Adugodi, Bengaluru"
2,Samyuktha Apartments,12.941573,77.6079278,Apartments,"Adugodi, Bengaluru"
3,Brindavan Apts,12.9485102,77.6063374,Apartments,"Adugodi, Bengaluru"
4,Prestige Acropolis,12.935308099999999,77.61047370000001,Apartments,"Adugodi, Bengaluru"
5,Venus Gangadhar Residency,12.950365,77.6043054,Apartments,"Adugodi, Bengaluru"
6,Adugodi,12.9427511,77.60829,Apartments,"Adugodi, Bengaluru"
7,Esteem Splendor 2,12.9377956,77.6091066,Apartments,"Adugodi, Bengaluru"
8,Brindavan Apartment,12.9382437,77.6097782,Apartments,"Adugodi, Bengaluru"
9,Rajesh Sharda Apartments,12.943451199999998,77.60396120000001,Apartments,"Adugodi, Bengaluru"
10,Sorina Apartments,12.937561099999998,77.61155579999999,Apartments,"Adugodi, Bengaluru"
11,Prakash Apartments,12.940097300000001,77.6077109,Apartments,"Adugodi, Bengaluru"
12,Ansal Krsna,12.9378069,77.6100691,Apartments,"Adugodi, Bengaluru"
13,Sharathi Apartment,12.9407521,77.60722209999999,Apartments,"Adugodi, Bengaluru"
14,Mythreyi Naimisha Apartment,12.9451336,77.60296740000001,Apartments,"Adugodi, Bengaluru"
15,RAJA FOUR SQUARES,12.943662699999999,77.6106757,Apartments,"Adugodi, Bengaluru"
16,Sanjeevegowda,12.9408351,77.60999890000001,Apartments,"Adugodi, Bengaluru"
17,Comfort Benaka Appartments,12.9464945,77.60283620000001,Apartments,"Adugodi, Bengaluru"
18,SLV Apartments -3,12.9360211,77.6090295,Apartments,"Adugodi, Bengaluru"
19,Prema Nilaya Apartment,12.9406304,77.6080901,Apartments,"Adugodi, Bengaluru"
20,Panchavati-4 Apartment,12.942082699999998,77.6076924,Apartments,"Adugodi, Bengaluru"
21,Nirmala Niwas %237,12.944363800000001,77.60942879999999,Apartments,"Adugodi, Bengaluru"
22,Deepdarshan appartment,12.9425974,77.6136073,Apartments,"Adugodi, Bengaluru"
23,Esteem Splendor 1,12.9381227,77.6093822,Apartments,"Adugodi, Bengaluru"
24,Nagesh's Appartment,12.9446605,77.6082809,Apartments,"Adugodi, Bengaluru"
25,Crystal Rock Apartments,12.9368891,77.60903859999999,Apartments,"Adugodi, Bengaluru"
26,Ashritha Eeshan NZ Meadows Apartment,12.949352699999999,77.60377940000001,Apartments,"Adugodi, Bengaluru"
27,"Samrudhi Nilaya, Audugodi",12.9444743,77.6089628,Apartments,"Adugodi, Bengaluru"
28,Shanthi Nilaya Apartment,12.9406546,77.6084403,Apartments,"Adugodi, Bengaluru"
29,ARINDAM,12.94308,77.6065167,Apartments,"Adugodi, Bengaluru"
30,413 Apartment,12.9441879,77.6180995,Apartments,"Adugodi, Bengaluru"
31,Samuthya Apartment,12.9402291,77.60832070000001,Apartments,"Adugodi, Bengaluru"
32,Kishan Apartment,12.9412741,77.607261,Apartments,"Adugodi, Bengaluru"
33,Lakshme Enclave,12.941675199999999,77.6082345,Apartments,"Adugodi, Bengaluru"
34,Saroja Pride,12.941054600000001,77.60773359999999,Apartments,"Adugodi, Bengaluru"
35,S.G.Home,12.941562800000002,77.6079496,Apartments,"Adugodi, Bengaluru"
36,Adithya om enclave,12.9415073,77.6174647,Apartments,"Adugodi, Bengaluru"
37,Prem Nest Near Basavanna temple,12.9432649,77.6092152,Apartments,"Adugodi, Bengaluru"
38,JV Residency,12.944071699999999,77.6091439,Apartments,"Adugodi, Bengaluru"
39,A. A. Center,12.9486249,77.60591140000001,Apartments,"Adugodi, Bengaluru"
40,Kenzo Enclave,12.9444739,77.6177055,Apartments,"Adugodi, Bengaluru"
41,Sudhir Residency,12.9410079,77.6077453,Apartments,"Adugodi, Bengaluru"
42,Rani Residency,12.939498599999999,77.6088175,Apartments,"Adugodi, Bengaluru"
43,Nithya Lakshmi,12.943186099999998,77.6122493,Apartments,"Adugodi, Bengaluru"
44,Prestige St. John's Wood,12.930061199999999,77.6106751,Apartments,"Adugodi, Bengaluru"
45,Lakshmi Venkateshwara Nilaya,12.944329199999999,77.6098298,Apartments,"Adugodi, Bengaluru"
46,Salarpuria Sapphire,12.944253699999999,77.60766720000001,Apartments,"Adugodi, Bengaluru"
47,Savita Mansion,12.9403826,77.6031313,Apartments,"Adugodi, Bengaluru"
48,Sai Krupa Apartments,12.9375149,77.6123378,Apartments,"Adugodi, Bengaluru"
49,Rajeswari Nilaya,12.943033300000002,77.6069096,Apartments,"Adugodi, Bengaluru"
50,NDRI SRF COLONY,12.9456603,77.60750279999999,Apartments,"Adugodi, Bengaluru"
51,Shetty's residence,12.940947099999999,77.6038879,Apartments,"Adugodi, Bengaluru"
52,Krishna Apartment,12.9285032,77.61108259999999,Apartments,"Adugodi, Bengaluru"
53,Robert Home,12.943516800000001,77.607295,Apartments,"Adugodi, Bengaluru"
54,Dixit%E2%80%99s Apartmet,12.9402192,77.6173703,Apartments,"Adugodi, Bengaluru"
55,"F Block, Inside Adugodi Police Quaters",12.942457699999999,77.6128986,Apartments,"Adugodi, Bengaluru"
56,"%2354, Sri Nivasa",12.9403055,77.6086993,Apartments,"Adugodi, Bengaluru"
57,Sri Laxmi Nivas,12.9404852,77.6082048,Apartments,"Adugodi, Bengaluru"
58,My Home,12.943483800000001,77.6073078,Apartments,"Adugodi, Bengaluru"
59,"A block, Inside Adugodi Police Quaters",12.9422784,77.6098442,Apartments,"Adugodi, Bengaluru"
60,Sri Lakshmi Venkatesha Nilaya,12.942135,77.6068113,Apartments,"Adugodi, Bengaluru"
61,Adugudi Police Quatres,12.9421763,77.6106432,Apartments,"Adugodi, Bengaluru"
62,Soram Residency,12.9404025,77.607674,Apartments,"Adugodi, Bengaluru"
63,Police QRS. ADUGODI,12.9397605,77.6120715,Apartments,"Adugodi, Bengaluru"
64,Amma's House,12.9443644,77.6094122,Apartments,"Adugodi, Bengaluru"
65,"G Block, Inside Adugodi Police Quaters",12.9401179,77.6136537,Apartments,"Adugodi, Bengaluru"
66,Lijo Varghese,12.942069400000001,77.60716670000001,Apartments,"Adugodi, Bengaluru"
67,Shri Shanta Narayana Nilayam,12.9415016,77.6069026,Apartments,"Adugodi, Bengaluru"
68,Srinivasa Complex,12.941862800000001,77.6081249,Apartments,"Adugodi, Bengaluru"
69,Prakash ballari hvr,12.94487,77.6095,Apartments,"Adugodi, Bengaluru"
70,AMC RESIDENCY,12.9446429,77.6076533,Apartments,"Adugodi, Bengaluru"
71,CHIKKA POTHALAPPA NILAYA,12.9493644,77.6056664,Apartments,"Adugodi, Bengaluru"
72,Jordiie's Place,12.9403453,77.607679,Apartments,"Adugodi, Bengaluru"
73,PHC house,12.9407982,77.6039689,Apartments,"Adugodi, Bengaluru"
74,Sai Balaji Residency,12.9267832,77.6099718,Apartments,"Adugodi, Bengaluru"
75,Sipani classe 2,12.9405273,77.6190537,Apartments,"Adugodi, Bengaluru"
76,Sri Venkateshwara Nilaya,12.9435282,77.60653470000001,Apartments,"Adugodi, Bengaluru"
77,Vinod Raj's Home,12.940044199999999,77.60806540000002,Apartments,"Adugodi, Bengaluru"
78,Sapthagiri Apartments,12.927683,77.611051,Apartments,"Adugodi, Bengaluru"
79,Koramangala,12.945122900000001,77.6171229,Apartments,"Adugodi, Bengaluru"
80,Bhagu halesh bro,12.942733,77.61264200000001,Apartments,"Adugodi, Bengaluru"
81,Sree Vatsa Nilaya Apartments,12.927306199999999,77.6113865,Apartments,"Adugodi, Bengaluru"
82,Venkatarama Reddy. M Residence,12.9430851,77.608529,Apartments,"Adugodi, Bengaluru"
83,Shanvi Apartment,12.9407744,77.6189205,Apartments,"Adugodi, Bengaluru"
84,Kishan Enclave,12.942947,77.6173935,Apartments,"Adugodi, Bengaluru"
85,Planet Pride,12.9439807,77.6102407,Apartments,"Adugodi, Bengaluru"
86,Yadav%E2%80%99s building,12.9446925,77.60719559999998,Apartments,"Adugodi, Bengaluru"
87,Salim Building,12.948908900000001,77.6047825,Apartments,"Adugodi, Bengaluru"
88,Lalithalaya Apartment,12.943257699999998,77.61860159999999,Apartments,"Adugodi, Bengaluru"
89,John Vijay,12.9479075,77.61853459999999,Apartments,"Adugodi, Bengaluru"
90,Manik%E2%80%99s Apartment,12.9426918,77.6178359,Apartments,"Adugodi, Bengaluru"
91,Sobha Highland Hosur Bangalore,12.9415864,77.6072687,Apartments,"Adugodi, Bengaluru"
92,1BHK Apartments,12.9322131,77.61095040000001,Apartments,"Adugodi, Bengaluru"
93,Ajith sridhar,12.951584,77.60103199999999,Apartments,"Adugodi, Bengaluru"
94,Ashwin Apartment,12.942925500000001,77.6187182,Apartments,"Adugodi, Bengaluru"
95,Comfort Sharada Apartment,12.9456996,77.5985749,Apartments,"Adugodi, Bengaluru"
96,"45 , 1 - Nicky%E2%80%99s ",12.940358,77.607714,Apartments,"Adugodi, Bengaluru"
97,KUMAR N APARTMENTS,12.942216400000001,77.61881020000001,Apartments,"Adugodi, Bengaluru"
98,Tavarekere Apartment,12.9278183,77.61005379999999,Apartments,"Adugodi, Bengaluru"
99,Sri Sai PG,12.9362751,77.60878199999999,Apartments,"Adugodi, Bengaluru"
100,Amma Nilaya,12.943304699999999,77.6189898,Apartments,"Adugodi, Bengaluru"
101,Sathya Apartments,12.9335385,77.60811890000001,Apartments,"Adugodi, Bengaluru"
102,Vision Appartments,12.939925500000001,77.6163804,Apartments,"Adugodi, Bengaluru"
103,Bs Sunshine Apartment,12.94402,77.6102613,Apartments,"Adugodi, Bengaluru"
104,Home,12.950492,77.6098684,Apartments,"Adugodi, Bengaluru"
105,BH24 Blue Hills service apartment,12.9323027,77.6101949,Apartments,"Adugodi, Bengaluru"
106,Sri Sai Krishna PG for Gents,12.94205,77.6078239,Apartments,"Adugodi, Bengaluru"
107,Platina heights luxury apartments,12.9427164,77.6168269,Apartments,"Adugodi, Bengaluru"
108,S 23 51 Laskar,12.938202699999998,77.60924709999999,Apartments,"Adugodi, Bengaluru"
109,SHAHEEN AEJAZ APARTMENTS,12.944473599999998,77.5987875,Apartments,"Adugodi, Bengaluru"
110,The Mayfair Apartments,12.939376600000001,77.6218297,Apartments,"Adugodi, Bengaluru"
111,Building No. 2,12.940661,77.6175807,Apartments,"Adugodi, Bengaluru"
112,Sree%26 Sonu's,12.9411694,77.5993109,Apartments,"Adugodi, Bengaluru"
113,"No.605, 11th Cross, 2nd Main, 2nd stage, Koramangala, Rajendra Nagar, Bangalore -560047",12.947502900000002,77.6168991,Apartments,"Adugodi, Bengaluru"
114,Aditya Residency,12.943596800000002,77.604016,Apartments,"Adugodi, Bengaluru"
115,SG Residency,12.9320507,77.6102724,Apartments,"Adugodi, Bengaluru"
116,Insta Guest House - Koramangala,12.9355474,77.61300820000001,Apartments,"Adugodi, Bengaluru"
117,"Memphis Apartments,",12.9591886,77.60326450000001,Apartments,"Adugodi, Bengaluru"
118,Apartment 6D,12.9366969,77.6163113,Apartments,"Adugodi, Bengaluru"
119,Sri Balaji Residency,12.9415955,77.6197312,Apartments,"Adugodi, Bengaluru"
120,Citizen Tower Building,12.927937199999999,77.6099542,Apartments,"Adugodi, Bengaluru"
121,%234,12.9417638,77.6204688,Apartments,"Adugodi, Bengaluru"
122,Pavan Apartments,12.926870599999999,77.6106647,Apartments,"Adugodi, Bengaluru"
123,House,12.9367675,77.6158994,Apartments,"Adugodi, Bengaluru"
124,SpringHeights @ Koramangala,12.9394724,77.6181926,Apartments,"Adugodi, Bengaluru"
125,Building 600,12.943343400000002,77.6198777,Apartments,"Adugodi, Bengaluru"
126,Ramya reddy,12.9442235,77.6090593,Apartments,"Adugodi, Bengaluru"
127,"Opposite sri hari hara pg, Blue colour paint apartment",12.9364531,77.60892890000001,Apartments,"Adugodi, Bengaluru"
128,Sankar Residency,12.9379394,77.619807,Apartments,"Adugodi, Bengaluru"
129,NPR apartment,12.927048300000001,77.6086532,Apartments,"Adugodi, Bengaluru"
130,Adarsh Vihar Apartment,12.9304459,77.60108120000001,Apartments,"Adugodi, Bengaluru"
131,Iman service apartments,12.935215600000001,77.6199608,Apartments,"Adugodi, Bengaluru"
132,Raj Elite,12.9421528,77.6069531,Apartments,"Adugodi, Bengaluru"
133,Apartment complex,12.9253431,77.6064458,Apartments,"Adugodi, Bengaluru"
134,Vinay paying guest,12.9409359,77.6025867,Apartments,"Adugodi, Bengaluru"
135,Saicharan Apartments,12.935842999999998,77.62671,Apartments,"Adugodi, Bengaluru"
136,Zwolf Residency,12.9431934,77.6198778,Apartments,"Adugodi, Bengaluru"
137,Sashikala Apartments,12.9410804,77.62603969999999,Apartments,"Adugodi, Bengaluru"
138,Vishnupada Apartments,12.9330761,77.6273024,Apartments,"Adugodi, Bengaluru"
139,Fortune towers,12.9440926,77.6077521,Apartments,"Adugodi, Bengaluru"
140,%23373,12.935044900000001,77.6197947,Apartments,"Adugodi, Bengaluru"
141,Home,12.9411733,77.6213028,Apartments,"Adugodi, Bengaluru"
142,Stag Aditya Apartments koramangala,12.940163400000001,77.6279,Apartments,"Adugodi, Bengaluru"
143,Saniya Residency,12.9281277,77.60664399999999,Apartments,"Adugodi, Bengaluru"
144,Alcove Service Apartments,12.9285724,77.6318027,Apartments,"Adugodi, Bengaluru"
145,D'Habitat Serviced Apartments in Bangalore Koramangala,12.940108500000001,77.62469820000001,Apartments,"Adugodi, Bengaluru"
146,470 Koramangala,12.9340963,77.6197447,Apartments,"Adugodi, Bengaluru"
147,Monarch Residency,12.929787800000001,77.60806090000001,Apartments,"Adugodi, Bengaluru"
148,Padmashree Apartment,12.9368791,77.6243412,Apartments,"Adugodi, Bengaluru"
149,AshaDeepa Apartments,12.942423,77.63033100000001,Apartments,"Adugodi, Bengaluru"
150,Vishnupriya Arcade,12.936761500000001,77.6204735,Apartments,"Adugodi, Bengaluru"
151,Vrishadri Apartments,12.931699499999999,77.6351936,Apartments,"Adugodi, Bengaluru"
152,Bala Apartments,12.940905099999998,77.6262937,Apartments,"Adugodi, Bengaluru"
153,Premium Serviced Apartments,12.9387767,77.6237957,Apartments,"Adugodi, Bengaluru"
154,A.M. Apartments,12.9317754,77.5988891,Apartments,"Adugodi, Bengaluru"
155,Del Prado Apartment,12.9364957,77.6297788,Apartments,"Adugodi, Bengaluru"
156,Ram Reddy Building,12.942657,77.6078494,Apartments,"Adugodi, Bengaluru"
157,Apartment-1 BHK,12.9235963,77.6162818,Apartments,"Adugodi, Bengaluru"
158,New Apartments,12.9243385,77.61314990000001,Apartments,"Adugodi, Bengaluru"
159,Apartment,12.928977,77.5977103,Apartments,"Adugodi, Bengaluru"
160,Phoenix Palms Apartments,12.9401825,77.6262074,Apartments,"Adugodi, Bengaluru"
161,Canterbury Apartments,12.9617285,77.6027512,Apartments,"Adugodi, Bengaluru"
162,Sharu home,12.9359602,77.6232687,Apartments,"Adugodi, Bengaluru"
163,Raheja Residency,12.9287326,77.6318844,Apartments,"Adugodi, Bengaluru"
164,%2369 Apartment,12.92958,77.6075978,Apartments,"Adugodi, Bengaluru"
165,House,12.934912800000001,77.61968309999999,Apartments,"Adugodi, Bengaluru"
166,Apartment,12.9166918,77.63741759999999,Apartments,"Adugodi, Bengaluru"
167,R%26J Apartments,12.9454924,77.6277912,Apartments,"Adugodi, Bengaluru"
168,Euphoria Appartments,12.9403636,77.6284064,Apartments,"Adugodi, Bengaluru"
169,Siri Apartments,12.9363985,77.63089649999999,Apartments,"Adugodi, Bengaluru"
170,10%2FA,12.935180599999999,77.6334,Apartments,"Adugodi, Bengaluru"
171,AD Apartments,12.931838,77.6353108,Apartments,"Adugodi, Bengaluru"
172,Sunshine Apartment Kormangala,12.928185800000001,77.63833709999999,Apartments,"Adugodi, Bengaluru"
173,Apartment,12.9639061,77.6137837,Apartments,"Adugodi, Bengaluru"
174,LVR Residency Block 2,12.9281313,77.63831809999999,Apartments,"Adugodi, Bengaluru"
175,Sobha Morzaria Grandeur,12.9339549,77.601799,Apartments,"Adugodi, Bengaluru"
176,Arpitha Apartment A Block,12.927311099999999,77.638215,Apartments,"Adugodi, Bengaluru"
177,Housewise.in - Rental Property Management Company in Bengaluru,12.933300099999999,77.612155,Apartments,"Adugodi, Bengaluru"
178,Baik Apartament,12.9405949,77.6263386,Apartments,"Adugodi, Bengaluru"
179,Modern Apartment,12.9195353,77.6040765,Apartments,"Adugodi, Bengaluru"
180,St Mary's Executive PG Accommodation,12.936707400000001,77.6085473,Apartments,"Adugodi, Bengaluru"
181,Goodwill Apartments,12.9357103,77.6233417,Apartments,"Adugodi, Bengaluru"
182,Bharathi Accomodation,12.9431106,77.6076911,Apartments,"Adugodi, Bengaluru"
183,The Emerald Suite - A Self-Serviced Residence by Host- Right,12.933057000000002,77.6321801,Apartments,"Adugodi, Bengaluru"
184,Anand .m residency,12.9285903,77.6375281,Apartments,"Adugodi, Bengaluru"
185,Apartments madiwala,12.9213762,77.6141923,Apartments,"Adugodi, Bengaluru"
186,1%2F2 Bedroom for Bachelors,12.9337731,77.6097859,Apartments,"Adugodi, Bengaluru"
187,Independent House,12.9532236,77.578683,Apartments,"Adugodi, Bengaluru"
188,"Adi Nilaya, bldg %236",12.935269300000002,77.6337671,Apartments,"Adugodi, Bengaluru"
189,KMT PG For Ladies,12.9366711,77.6086553,Apartments,"Adugodi, Bengaluru"
190,BAK Comfort Manner,12.937208300000002,77.6121191,Apartments,"Adugodi, Bengaluru"
191,Shanti Rooms %26 PG Accomodation,12.940427699999999,77.602785,Apartments,"Adugodi, Bengaluru"
192,Shree Ganesh PG Accomdation for ladies,12.936112800000002,77.6091779,Apartments,"Adugodi, Bengaluru"
193,Trinayan residency,12.924169000000001,77.636979,Apartments,"Adugodi, Bengaluru"
194,Bangalore Apartments,12.9331097,77.587663,Apartments,"Adugodi, Bengaluru"
195,54 3bhk,12.932208300000001,77.6354724,Apartments,"Adugodi, Bengaluru"
196,Trusted Stay Service Apartments in Bangalore,12.9298227,77.6302364,Apartments,"Adugodi, Bengaluru"
197,Olive Service Apartments Koramangala,12.9280031,77.62851459999999,Apartments,"Adugodi, Bengaluru"
198,Girl's p.g Adugodi.,12.939817800000002,77.6075626,Apartments,"Adugodi, Bengaluru"
199,Lakshmi Narasimha PG for men.,12.942560400000001,77.6075667,Apartments,"Adugodi, Bengaluru"
200,"Ruby Corporate Service Apartments, Koramangala",12.939864,77.628854,Apartments,"Adugodi, Bengaluru"
201,Reen Apartments,12.930043300000001,77.607147,Apartments,"Adugodi, Bengaluru"
202,Bren Corporation,12.942393699999998,77.6145767,Apartments,"Adugodi, Bengaluru"
203,Sri sai balaji luxury pg for gents,12.942589199999999,77.6066757,Apartments,"Adugodi, Bengaluru"
204,Salarpuria Tower 2,12.9334894,77.61248409999999,Apartments,"Adugodi, Bengaluru"
205,Apartment,12.9184228,77.61761779999999,Apartments,"Adugodi, Bengaluru"
206,ZTE telecom india pvt ltd,12.9367451,77.61042459999999,Apartments,"Adugodi, Bengaluru"
207,Supriyaladiespg,12.942341699999998,77.60672559999999,Apartments,"Adugodi, Bengaluru"
208,HM Indigo,12.8730864,77.5715421,Apartments,"Adugodi, Bengaluru"
209,Nestaway Technologies Pvt. Ltd. Corporate,12.9158259,77.645526,Apartments,"Adugodi, Bengaluru"
210,House for rent,12.9261028,77.60615729999999,Apartments,"Adugodi, Bengaluru"
211,new V.B.S luxury P.G for LADIES 16,12.9427369,77.60670390000001,Apartments,"Adugodi, Bengaluru"
212,Javid's P G Accommodation,12.942247199999999,77.6072963,Apartments,"Adugodi, Bengaluru"
213,Blank,12.9437113,77.6033948,Apartments,"Adugodi, Bengaluru"
214,New S N S PG For Ladies,12.9423814,77.60664090000002,Apartments,"Adugodi, Bengaluru"
215,Apartment Building,12.925950300000002,77.634472,Apartments,"Adugodi, Bengaluru"
216,VBS LUXURY PG FOR GENTS,12.9427799,77.6073897,Apartments,"Adugodi, Bengaluru"
217,Kormangla Bangalore,12.9416935,77.6168196,Apartments,"Adugodi, Bengaluru"
218,Residency,12.9218294,77.6167255,Apartments,"Adugodi, Bengaluru"
219,Sri Anjanaya Swami Pg,12.9425049,77.60763270000001,Apartments,"Adugodi, Bengaluru"
220,Ladies PG,12.942825599999999,77.6077723,Apartments,"Adugodi, Bengaluru"
221,Bosch Flyover,12.9439555,77.60607850000001,Apartments,"Adugodi, Bengaluru"
222,Chikku Lakshmaiah Layout,12.9361477,77.609935,Apartments,"Adugodi, Bengaluru"
223,Constructure,12.941819800000001,77.61689179999999,Apartments,"Adugodi, Bengaluru"
224,New srivari PG For Gents near Bosch,12.9422491,77.607708,Apartments,"Adugodi, Bengaluru"
225,Manikyam Tailor Adugodi,12.944038699999998,77.6108407,Apartments,"Adugodi, Bengaluru"
226,Forum pg,12.9419677,77.607668,Apartments,"Adugodi, Bengaluru"
227,India Post - Adugodi Sub Post Office,12.948601400000001,77.601754,Apartments,"Adugodi, Bengaluru"
228,"Asterix Energy - Rooftop Solar for Homes, Apartments, Offices and Industries",12.9408944,77.6171257,Apartments,"Adugodi, Bengaluru"
229,NANDI SHREYAS RESIDENCY,12.944175999999999,77.6076944,Apartments,"Adugodi, Bengaluru"
230,INTERNATIONAL TRAVEL HOUSE LIMITED,12.950524,77.604784,Apartments,"Adugodi, Bengaluru"
231,1 bhk apartment,12.848453,77.685098,Apartments,"Adugodi, Bengaluru"
232,Saroj BlueBells,12.9778571,77.736651,Apartments,"Adugodi, Bengaluru"
233,Nanjappa Layout,12.9413239,77.6074284,Apartments,"Adugodi, Bengaluru"
234,Adugodi PG,12.943897900000001,77.6082767,Apartments,"Adugodi, Bengaluru"
235,RP LADIES PG,12.9436974,77.607055,Apartments,"Adugodi, Bengaluru"
236,Sri Sai Krishna PG for Gents,12.942018,77.6078031,Apartments,"Adugodi, Bengaluru"
237,Peninsula Paramount,12.8563602,77.8017832,Apartments,"Adugodi, Bengaluru"
238,Pukhraj Layout,12.941522500000001,77.6042056,Apartments,"Adugodi, Bengaluru"
239,Kiranita Sundas,12.9402439,77.6084788,Apartments,"Adugodi, Bengaluru"
240,Chikka Adugodi,12.928044,77.61029309999999,Apartments,"Adugodi, Bengaluru"
241,Golden Gate Properties Ltd,12.9425507,77.6222958,Apartments,"Adugodi, Bengaluru"
242,Shine Lodge,12.935962400000001,77.6090203,Apartments,"Adugodi, Bengaluru"
243,Rooms For Rent,13.0329907,77.73629229999999,Apartments,"Adugodi, Bengaluru"
244,VBS PG FOR LADIES ADUGODI,12.9433263,77.6081268,Apartments,"Adugodi, Bengaluru"
245,Arshad Luxury PG Ladies,12.9418099,77.606987,Apartments,"Adugodi, Bengaluru"
246,Brigade Laguna,13.0649806,77.609445,Apartments,"Adugodi, Bengaluru"
247,Adithi Padmashree,13.0736645,77.51880140000002,Apartments,"Adugodi, Bengaluru"
248,Sattva Magnificia,12.995176400000002,77.6691615,Apartments,"Adugodi, Bengaluru"
249,Space Infinity - Interior Designers,12.9435601,77.60779140000001,Apartments,"Adugodi, Bengaluru"
250,Bosch Adugodi,12.9461087,77.6064016,Apartments,"Adugodi, Bengaluru"
251,Fathima Mansion,12.939019300000002,77.47394140000002,Apartments,"Adugodi, Bengaluru"
252,Prestige Sunrise Park Norwood,12.834542599999999,77.6637588,Apartments,"Adugodi, Bengaluru"
253,New Launch,12.9587733,77.6159946,Apartments,"Adugodi, Bengaluru"
254,The Dress Bank - Clothes On Rent,12.9385394,77.609702,Apartments,"Adugodi, Bengaluru"
255,myroomie - Aster PG%2F Hostel%2F student Housing,12.9285102,77.6098902,Apartments,"Adugodi, Bengaluru"
256,Kevin Appartment,12.941251800000002,77.6284936,Apartments,"Adugodi, Bengaluru"
257,Innovadores,12.9431576,77.6087124,Apartments,"Adugodi, Bengaluru"
258,LVR Grandeur,12.936344300000002,77.6085642,Apartments,"Adugodi, Bengaluru"
259,Shriram Liberty Square,12.832411599999999,77.70264470000001,Apartments,"Adugodi, Bengaluru"
260,Evergreen PG for girls ( near Christ University ),12.9396546,77.6079506,Apartments,"Adugodi, Bengaluru"
261,Yadav PG For Gents,12.9367519,77.60848299999999,Apartments,"Adugodi, Bengaluru"
262,LVR,12.935746400000001,77.6092953,Apartments,"Adugodi, Bengaluru"
263,"Settlin.in, Property Consultancy",12.9118448,77.64150740000001,Apartments,"Adugodi, Bengaluru"
264,Saroj Group,12.9522835,77.7119978,Apartments,"Adugodi, Bengaluru"
265,Sri Lakshmi Beauty Parlour,12.9421338,77.6087945,Apartments,"Adugodi, Bengaluru"
266,DS-MAX Properties Pvt.Ltd,13.037737,77.62738759999999,Apartments,"Adugodi, Bengaluru"
267,Sobha City Casa Paradiso,13.0769315,77.6390952,Apartments,"Adugodi, Bengaluru"
268,Madhavi Ladies pg,12.9365985,77.60906949999999,Apartments,"Adugodi, Bengaluru"
269,Trekkers,12.943809,77.599354,Apartments,"Adugodi, Bengaluru"
270,Brigade Orchards,13.237063000000001,77.72428000000001,Apartments,"Adugodi, Bengaluru"
271,Sri Lakshmi Venkateshwara PG for Ladies,12.935713699999999,77.6092593,Apartments,"Adugodi, Bengaluru"
272,"Kaya Clinic - Skin %26 Hair Care (Koramangala, Bengaluru)",12.938205499999999,77.60980570000001,Apartments,"Adugodi, Bengaluru"
273,Directdeals.in,12.9350978,77.62459940000001,Apartments,"Adugodi, Bengaluru"
274,Vandana Agencies,12.9385445,77.6096964,Apartments,"Adugodi, Bengaluru"
275,Quest Infocom,12.927682,77.611231,Apartments,"Adugodi, Bengaluru"
276,CommonFloor,12.9595794,77.6383585,Apartments,"Adugodi, Bengaluru"
277,Sobha Dream Acres - Flats for Sale in Bangalore,12.9382954,77.7262934,Apartments,"Adugodi, Bengaluru"
278,Koramangala 1A Block,12.9272897,77.6314178,Apartments,"Adugodi, Bengaluru"
279,GANESHA PAN SHOP,12.941636,77.6082944,Apartments,"Adugodi, Bengaluru"
280,Nigoke Dentiur Cliniqe,12.939300099999999,77.6094413,Apartments,"Adugodi, Bengaluru"
281,Evergreen PG for girls,12.9369041,77.6084805,Apartments,"Adugodi, Bengaluru"
282,WashBuddy,12.9292997,77.6095802,Apartments,"Adugodi, Bengaluru"
283,"The New India Assurance Company Ltd, Koramangala Micro Office",12.9392231,77.6094901,Apartments,"Adugodi, Bengaluru"
284,Welcare Fitness Equipment %7CTreadmill store,12.9385963,77.6097809,Apartments,"Adugodi, Bengaluru"
285,Shanthi Sparsh Charitable Trust,12.9353373,77.60994709999999,Apartments,"Adugodi, Bengaluru"
286,IFB Point - Koramangala,12.9377168,77.61025790000001,Apartments,"Adugodi, Bengaluru"
287,Salarpuria Sattva Group,12.975439,77.61801700000001,Apartments,"Adugodi, Bengaluru"
288,Thought Labs,12.9383836,77.6096217,Apartments,"Adugodi, Bengaluru"
289,M.H.S. Meter Works,12.940271800000001,77.6089671,Apartments,"Adugodi, Bengaluru"
290,Forum Mall Bus Stop,12.9351433,77.6120748,Apartments,"Adugodi, Bengaluru"
291,House for rent,12.9342813,77.551113,Apartments,"Adugodi, Bengaluru"
292,appliancesprotech,12.9447384,77.6076443,Apartments,"Adugodi, Bengaluru"
293,"BHIVE Workspace, Koramangala",12.9352415,77.60929859999999,Offices,"Adugodi, Bengaluru"
294,Attic Space- Chanakya,12.9445907,77.61981920000001,Offices,"Adugodi, Bengaluru"
295,Bosch Adugodi,12.9461087,77.6064016,Offices,"Adugodi, Bengaluru"
296,Novel Office - Koramangala %7C Office Space for rent in Bangalore %7C Co working Spaces,12.951609300000001,77.6079621,Offices,"Adugodi, Bengaluru"
297,Live Business Group Head Office,12.944582400000002,77.61891440000001,Offices,"Adugodi, Bengaluru"
298,Talent certified,12.943111,77.60755400000001,Offices,"Adugodi, Bengaluru"
